scenario,seed,snapshot_t,method,evaluation,objective_value,best_so_far_cost
sudden,304,5,State,22,0.14210330925288872,0.13650813456840546
sudden,304,5,State,23,0.13775273781423714,0.13650813456840546
sudden,304,5,State,24,0.13946129368586882,0.13650813456840546
sudden,304,5,Combined,1,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,2,0.49648115582081265,0.3765081345684055
sudden,304,5,Combined,3,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,4,0.492950481596859,0.3765081345684055
sudden,304,5,Combined,5,0.512432815140192,0.3765081345684055
sudden,304,5,Combined,6,0.41249393693179554,0.3765081345684055
sudden,304,5,Combined,7,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,8,0.39311823052017986,0.3765081345684055
sudden,304,5,Combined,9,0.37673174628661604,0.3765081345684055
sudden,304,5,Combined,10,0.3804674939805374,0.3765081345684055
sudden,304,5,Combined,11,0.38122778102792404,0.3765081345684055
sudden,304,5,Combined,12,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,13,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,14,0.37673237508695956,0.3765081345684055
sudden,304,5,Combined,15,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,16,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,17,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,18,0.3765081345684055,0.3765081345684055
sudden,304,5,Combined,19,0.3765081345684055,0.3765081345684055
continuous_sudden,402,11,Cold,1,0.3638600077017963,0.3638600077017963
continuous_sudden,402,11,Cold,2,0.2602893788783152,0.2602893788783152
continuous_sudden,402,11,Cold,3,0.2754346416529547,0.2602893788783152
continuous_sudden,402,11,Cold,4,0.5121837564258646,0.2602893788783152
continuous_sudden,402,11,Cold,5,0.25589684137591046,0.25589684137591046
continuous_sudden,402,11,Cold,6,0.42577908285426086,0.25589684137591046
continuous_sudden,402,11,Cold,7,0.3831778904327667,0.25589684137591046
continuous_sudden,402,11,Cold,8,0.2544379647029376,0.2544379647029376
continuous_sudden,402,11,Cold,9,0.24471045527185978,0.24471045527185978
continuous_sudden,402,11,Cold,10,0.2793295191088129,0.24471045527185978
continuous_sudden,402,11,Cold,11,0.24,0.24
continuous_sudden,402,11,Cold,12,0.24286766972337204,0.24
continuous_sudden,402,11,Cold,13,0.2436718749976159,0.24
continuous_sudden,402,11,Cold,14,0.24231153554848775,0.24
continuous_sudden,402,11,Cold,15,0.2439062499976159,0.24
continuous_sudden,402,11,Cold,16,0.24086527611264172,0.24
continuous_sudden,402,11,Cold,17,0.24357333777377116,0.24
continuous_sudden,402,11,Cold,18,0.24127295527424386,0.24
continuous_sudden,402,11,Cold,19,0.23976562499999998,0.23976562499999998
continuous_sudden,402,11,Cold,20,0.24,0.23976562499999998
continuous_sudden,402,11,Cold,21,0.24,0.23976562499999998
continuous_sudden,402,11,Cold,22,0.24,0.23976562499999998
continuous_sudden,402,11,Cold,23,0.24247368666112945,0.23976562499999998
continuous_sudden,402,11,Cold,24,0.24590864360834622,0.23976562499999998
continuous_sudden,402,11,Param,1,0.24080420527424387,0.24080420527424387
continuous_sudden,402,11,Param,2,0.4238665628020006,0.24080420527424387
continuous_sudden,402,11,Param,3,0.24127295527424386,0.24080420527424387
continuous_sudden,402,11,Param,4,0.42732344052120474,0.24080420527424387
continuous_sudden,402,11,Param,5,0.35428845165996914,0.24080420527424387
continuous_sudden,402,11,Param,6,0.35006866041224965,0.24080420527424387
continuous_sudden,402,11,Param,7,0.25429368276135733,0.24080420527424387
continuous_sudden,402,11,Param,8,0.24,0.24
continuous_sudden,402,11,Param,9,0.24137403554848774,0.24
continuous_sudden,402,11,Param,10,0.23953125,0.23953125
continuous_sudden,402,11,Param,11,0.2440210263712194,0.23953125
continuous_sudden,402,11,Param,12,0.2424126158227316,0.23953125
continuous_sudden,402,11,Param,13,0.2420023936107303,0.23953125
continuous_sudden,402,11,Param,14,0.24511813443346192,0.23953125
continuous_sudden,402,11,Param,15,0.24558688443346194,0.23953125
continuous_sudden,402,11,Param,16,0.2408042052742439,0.23953125
continuous_sudden,402,11,Param,17,0.2468113861064348,0.23953125
continuous_sudden,402,11,Param,18,0.24511813443346192,0.23953125
continuous_sudden,402,11,Param,19,0.2428065988849742,0.23953125
continuous_sudden,402,11,Param,20,0.2453040558321909,0.23953125
continuous_sudden,402,11,Param,21,0.24267330415921806,0.23953125
continuous_sudden,402,11,Param,22,0.24113966054848773,0.23953125
continuous_sudden,402,11,Param,23,0.24103858027424388,0.23953125
continuous_sudden,402,11,Param,24,0.24033545527424388,0.23953125
continuous_sudden,402,11,State,1,0.3126499931944379,0.3126499931944379
continuous_sudden,402,11,State,2,0.23997780256819468,0.23997780256819468
continuous_sudden,402,11,State,3,0.24878356780822872,0.23997780256819468
continuous_sudden,402,11,State,4,0.4169991285327802,0.23997780256819468
continuous_sudden,402,11,State,5,0.2274961550919792,0.2274961550919792
continuous_sudden,402,11,State,6,0.3458161351402572,0.2274961550919792
continuous_sudden,402,11,State,7,0.35843714429039103,0.2274961550919792
continuous_sudden,402,11,State,8,0.23591086564610345,0.2274961550919792
continuous_sudden,402,11,State,9,0.2254280878828553,0.2254280878828553
continuous_sudden,402,11,State,10,0.2286398228790325,0.2254280878828553
continuous_sudden,402,11,State,11,0.22343684732108543,0.22343684732108543
continuous_sudden,402,11,State,12,0.2219183639978811,0.2219183639978811
continuous_sudden,402,11,State,13,0.22311655233436753,0.2219183639978811
continuous_sudden,402,11,State,14,0.22359645538332798,0.2219183639978811
