regime,seed,method,snapshot_t,delta,gain_vs_cold
sudden,304,State,10,0.05128948510644461,0.0018769571515856176
sudden,304,Combined,10,0.05128948510644461,-0.17812304284841438
sudden,304,Param,11,0.08078939676384554,0.26479597241888797
sudden,304,State,11,0.08078939676384554,0.21183137040299316
sudden,304,Combined,11,0.08078939676384554,0.026448390229979135
continuous_sudden,401,Param,1,0.13440064339694965,-0.1635825449196452
continuous_sudden,401,State,1,0.13440064339694965,-0.24
continuous_sudden,401,Combined,1,0.13440064339694965,0.0
continuous_sudden,401,Param,2,0.2145331946409873,-0.0068097216344481515
continuous_sudden,401,State,2,0.2145331946409873,0.3044319550185103
continuous_sudden,401,Combined,2,0.2145331946409873,0.3044319550185103
continuous_sudden,401,Param,3,0.40242814929173465,0.0
continuous_sudden,401,State,3,0.40242814929173465,-0.06
continuous_sudden,401,Combined,3,0.40242814929173465,-0.06
continuous_sudden,401,Param,4,0.41400832252947756,-0.06
continuous_sudden,401,State,4,0.41400832252947756,0.0
continuous_sudden,401,Combined,4,0.41400832252947756,0.0
continuous_sudden,401,Param,5,0.5798673469423373,0.0
continuous_sudden,401,State,5,0.5798673469423373,0.12
continuous_sudden,401,Combined,5,0.5798673469423373,0.12
continuous_sudden,401,Param,6,0.3543090325120784,0.0
continuous_sudden,401,State,6,0.3543090325120784,-0.06
continuous_sudden,401,Combined,6,0.3543090325120784,-0.06
continuous_sudden,401,Param,7,0.23857785284309688,0.0
continuous_sudden,401,State,7,0.23857785284309688,0.12
continuous_sudden,401,Combined,7,0.23857785284309688,0.12
continuous_sudden,401,Param,8,0.4383167759675032,-0.06
continuous_sudden,401,State,8,0.4383167759675032,-0.06
continuous_sudden,401,Combined,8,0.4383167759675032,0.0
continuous_sudden,401,Param,9,0.16024397889945338,-0.12
continuous_sudden,401,State,9,0.16024397889945338,0.0
continuous_sudden,401,Combined,9,0.16024397889945338,0.0
continuous_sudden,401,Param,10,0.37238456682190424,0.06
continuous_sudden,401,State,10,0.37238456682190424,0.3
continuous_sudden,401,Combined,10,0.37238456682190424,0.3
continuous_sudden,401,Param,11,0.7783050207346562,0.0
continuous_sudden,401,State,11,0.7783050207346562,-0.06
continuous_sudden,401,Combined,11,0.7783050207346562,0.0
continuous_sudden,402,Param,1,0.20145660220734887,0.0
continuous_sudden,402,State,1,0.20145660220734887,0.0
continuous_sudden,402,Combined,1,0.20145660220734887,0.0
continuous_sudden,402,Param,2,0.3918728910057716,0.0
continuous_sudden,402,State,2,0.3918728910057716,0.0
continuous_sudden,402,Combined,2,0.3918728910057716,0.0
continuous_sudden,402,Param,3,0.6429245187682986,0.0
continuous_sudden,402,State,3,0.6429245187682986,0.0
continuous_sudden,402,Combined,3,0.6429245187682986,0.0
continuous_sudden,402,Param,4,0.5855927842229697,-0.12
continuous_sudden,402,State,4,0.5855927842229697,0.0
continuous_sudden,402,Combined,4,0.5855927842229697,0.0
continuous_sudden,402,Param,5,0.5896084047824975,0.06
continuous_sudden,402,State,5,0.5896084047824975,0.0
continuous_sudden,402,Combined,5,0.5896084047824975,0.0
continuous_sudden,402,Param,6,0.6074191588157393,-0.12
continuous_sudden,402,State,6,0.6074191588157393,0.0
continuous_sudden,402,Combined,6,0.6074191588157393,-0.06
continuous_sudden,402,Param,7,0.5499539863691975,-0.18
continuous_sudden,402,State,7,0.5499539863691975,-0.12
continuous_sudden,402,Combined,7,0.5499539863691975,0.06
continuous_sudden,402,Param,8,0.5643856255491879,-0.05999999999999994
continuous_sudden,402,State,8,0.5643856255491879,0.13600996645234287
continuous_sudden,402,Combined,8,0.5643856255491879,0.19600996645234287
continuous_sudden,402,Param,9,0.2604115405829555,0.0
continuous_sudden,402,State,9,0.2604115405829555,0.18
continuous_sudden,402,Combined,9,0.2604115405829555,0.18
continuous_sudden,402,Param,10,0.4144863096951736,0.0
continuous_sudden,402,State,10,0.4144863096951736,0.12
continuous_sudden,402,Combined,10,0.4144863096951736,0.12
continuous_sudden,402,Param,11,0.9999999995863272,0.06
continuous_sudden,402,State,11,0.9999999995863272,0.018489315163721043
continuous_sudden,402,Combined,11,0.9999999995863272,0.24
continuous_sudden,403,Param,1,0.2312389185791359,0.1581911394735166
continuous_sudden,403,State,1,0.2312389185791359,0.1581911394735166
continuous_sudden,403,Combined,1,0.2312389185791359,0.1581911394735166
continuous_sudden,403,Param,2,0.24964046732862408,-0.026640790268264866
continuous_sudden,403,State,2,0.24964046732862408,-0.026640790268264866
