regime,seed,method,snapshot_t,delta,gain_vs_cold
sudden,303,State,9,0.04607055484978132,0.1054247242755477
sudden,303,Combined,9,0.04607055484978132,0.18
sudden,304,Param,1,0.028085573104157414,0.019428069302417583
sudden,304,State,1,0.028085573104157414,0.019428069302417583
sudden,304,Combined,1,0.028085573104157414,0.18
sudden,304,Param,2,0.053390530254520244,0.0840717359117774
sudden,304,State,2,0.053390530254520244,0.0840717359117774
sudden,304,Combined,2,0.053390530254520244,0.18
sudden,304,Param,3,0.09263180802625176,0.12
sudden,304,State,3,0.09263180802625176,0.12
sudden,304,Combined,3,0.09263180802625176,0.18
sudden,304,Param,4,0.15694629941841726,0.030583551497547046
sudden,304,State,4,0.15694629941841726,0.030583551497547046
sudden,304,Combined,4,0.15694629941841726,0.15058355149754704
sudden,304,Param,5,0.282055129208904,-0.001228127795203926
sudden,304,State,5,0.282055129208904,-0.0008654897950461093
sudden,304,Combined,5,0.282055129208904,0.09483373848118046
sudden,304,Param,6,0.04640607022888519,0.017252753838029378
sudden,304,State,6,0.04640607022888519,0.005350229535963091
sudden,304,Combined,6,0.04640607022888519,0.031821155299145226
sudden,304,Param,7,0.051700466145232535,0.03902697607145231
sudden,304,State,7,0.051700466145232535,0.0556985735775232
sudden,304,Combined,7,0.051700466145232535,0.08443873612488503
sudden,304,Param,8,0.08007008666334986,0.038053453267293647
sudden,304,State,8,0.08007008666334986,0.028226592938365547
sudden,304,Combined,8,0.08007008666334986,0.07987752290637634
sudden,304,Param,9,0.044248679039635044,0.028762237061280865
sudden,304,State,9,0.044248679039635044,0.04660048682543533
sudden,304,Combined,9,0.044248679039635044,0.06969796187551577
