regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,102,Param,3,0.0,0.353244645982958,0.113244645982958,0.8,0.353244645982958,0.113244645982958,0.8,-0.037215245203236325,0.45422832898636056,0.353244645982958,1.0,0.00830078125,24,2048,102,113,10.931093847146258
stationary,102,State,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160294007797217,0.004019693399362881,0.0,1.0,0.98974609375,24,2048,102,113,8.379466569982469
stationary,102,Combined,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3160294007797217,0.010575013326541427,0.0,1.0,0.9638671875,24,2048,102,113,7.555472323903814
stationary,102,Cold,4,0.0,0.06,0.0,0.2,0.3760294007797217,0.2560294007797217,0.4,0.0,0.5419542068157603,0.06,1.0,0.00439453125,24,2048,102,112,9.556815706891939
stationary,102,Param,4,0.0,0.40513320891449334,0.16513320891449332,0.8,0.7583778548974514,0.2783778548974513,1.6,-0.34513320891449334,0.5013618001895205,0.40513320891449334,1.0,0.00732421875,24,2048,102,112,15.3515941479709
stationary,102,State,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.017565488295364244,0.0,1.0,0.958984375,24,2048,102,113,9.522125503979623
stationary,102,Combined,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.007259752110435187,0.0,1.0,0.974609375,24,2048,102,113,8.314531509997323
stationary,102,Cold,5,0.0,0.0,0.0,0.0,0.3760294007797217,0.2560294007797217,0.4,0.0,0.4067567087342344,0.0,1.0,0.001953125,24,2048,102,112,31.610422988887876
stationary,102,Param,5,0.0,0.16513320891449332,0.1651332089144933,0.0,0.9235110638119447,0.4435110638119446,1.6,-0.16513320891449332,0.32074869328270417,0.16513320891449332,1.0,0.013671875,24,2048,102,112,13.60599648905918
stationary,102,State,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004027975370900502,0.0,1.0,0.98681640625,24,2048,102,113,8.193069191882387
