regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold
gradual,202,Param,2,0.04933221355127016,0.10003436646149556,0.10003436646149556,0.0,0.2727785942395062,0.2127785942395062,0.2,0.07996563353850443
gradual,202,State,2,0.04933221355127016,0.10003436646149556,0.10003436646149556,0.0,0.2727785942395062,0.2127785942395062,0.2,0.07996563353850443
gradual,202,Combined,2,0.04933221355127016,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,202,Cold,3,0.10338398147086438,0.18,0.0,0.5999999999999999,0.54,0.0,1.7999999999999998,0.0
gradual,202,Param,3,0.10338398147086438,0.06,0.0,0.2,0.3327785942395062,0.2127785942395062,0.4,0.12
gradual,202,State,3,0.10338398147086438,0.06,0.0,0.2,0.3327785942395062,0.2127785942395062,0.4,0.12
gradual,202,Combined,3,0.10338398147086438,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,202,Cold,4,0.184893344535295,0.06,0.0,0.19999999999999996,0.6000000000000001,0.0,1.9999999999999998,0.0
gradual,202,Param,4,0.184893344535295,0.06,0.0,0.20000000000000007,0.3927785942395062,0.2127785942395062,0.6000000000000001,0.0
gradual,202,State,4,0.184893344535295,0.06,0.0,0.20000000000000007,0.3927785942395062,0.2127785942395062,0.6000000000000001,0.0
gradual,202,Combined,4,0.184893344535295,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,202,Cold,5,0.11269078466386238,0.06,0.0,0.19999999999999996,0.6600000000000001,0.0,2.1999999999999997,0.0
gradual,202,Param,5,0.11269078466386238,0.06,0.0,0.19999999999999996,0.45277859423950617,0.2127785942395062,0.8,0.0
gradual,202,State,5,0.11269078466386238,0.06,0.0,0.19999999999999996,0.45277859423950617,0.2127785942395062,0.8,0.0
gradual,202,Combined,5,0.11269078466386238,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,202,Cold,6,0.10737152613737747,0.12,0.0,0.3999999999999999,0.7800000000000001,0.0,2.5999999999999996,0.0
gradual,202,Param,6,0.10737152613737747,0.06,0.0,0.19999999999999996,0.5127785942395062,0.2127785942395062,1.0,0.06
gradual,202,State,6,0.10737152613737747,0.06,0.0,0.19999999999999996,0.5127785942395062,0.2127785942395062,1.0,0.06
gradual,202,Combined,6,0.10737152613737747,0.0,0.0,0.0,0.0,0.0,0.0,0.12
gradual,202,Cold,7,0.04942503938565455,0.06,0.0,0.20000000000000018,0.8400000000000001,0.0,2.8,0.0
gradual,202,Param,7,0.04942503938565455,0.06,0.0,0.19999999999999996,0.5727785942395063,0.2127785942395062,1.2,0.0
gradual,202,State,7,0.04942503938565455,0.06,0.0,0.19999999999999996,0.5727785942395063,0.2127785942395062,1.2,0.0
gradual,202,Combined,7,0.04942503938565455,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,202,Cold,8,0.0441216815325701,0.06,0.0,0.20000000000000018,0.9000000000000001,0.0,3.0,0.0
gradual,202,Param,8,0.0441216815325701,0.06,0.0,0.19999999999999996,0.6327785942395063,0.2127785942395062,1.4,0.0
gradual,202,State,8,0.0441216815325701,0.06,0.0,0.19999999999999996,0.6327785942395063,0.2127785942395062,1.4,0.0
gradual,202,Combined,8,0.0441216815325701,0.0,0.0,0.0,0.0,0.0,0.0,0.06
gradual,202,Cold,9,0.02324678356560088,0.06,0.0,0.20000000000000018,0.9600000000000002,0.0,3.2,0.0
gradual,202,Param,9,0.02324678356560088,0.06,0.0,0.19999999999999996,0.6927785942395064,0.2127785942395062,1.5999999999999999,0.0
